Date,Roti Amount,Basmathi rice Amount,Samba rice Amount,Cooking oil Amount,Chicken Amount,Fish Amount,Prawns Amount,Cuttlefish Amount,Egg Amount,Salt Amount,Pepper Amount,Chilie flakes Amount,Sausage Amount,Cheese Amount,Fresh milk Amount,Carrot Amount,Leeks Amount,Cabage Amount,Pinnaple Amount,Sesame oil Amount,Tomato ketchup Amount,Dark sauce Amount,Oyster sauce Amount,Roti Amount (Unit),Basmathi rice Amount (Unit),Samba rice Amount (Unit),Cooking oil Amount (Unit),Chicken Amount (Unit),Fish Amount (Unit),Prawns Amount (Unit),Cuttlefish Amount (Unit),Egg Amount (Unit),Salt Amount (Unit),Pepper Amount (Unit),Chilie flakes Amount (Unit),Sausage Amount (Unit),Cheese Amount (Unit),Fresh milk Amount (Unit),Carrot Amount (Unit),Leeks Amount (Unit),Cabage Amount (Unit),Pinnaple Amount (Unit),Sesame oil Amount (Unit),Tomato ketchup Amount (Unit),Dark sauce Amount (Unit),Oyster sauce Amount (Unit)
2024-01-07,212.0,300.0,385.0,100.0,150.0,30.0,30.0,30.0,5900,120.0,130.0,100.0,1500,340,20.0,50.0,75.0,20.0,3.0,70.0,20.0,6.0,6.0,kg,kg,kg,L,kg,kg,kg,kg,,kg,kg,kg,,,L,kg,kg,kg,kg,L,L,L,L
2024-01-10,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-01-13,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-01-14,0.0,320.0,370.0,100.0,200.0,40.0,40.0,28.0,5700,0.0,0.0,0.0,1500,0,0.0,55.0,75.0,25.0,2.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-01-16,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-01-19,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-01-21,0.0,400.0,400.0,90.0,150.0,30.0,30.0,30.0,6000,0.0,0.0,0.0,1700,0,0.0,60.0,80.0,30.0,4.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-01-22,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-01-25,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-01-28,216.0,355.0,395.0,100.0,150.0,30.0,32.0,28.0,5810,0.0,0.0,0.0,1470,0,0.0,50.0,75.0,25.0,2.0,0.0,0.0,0.0,0.0,kg,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
